,Features,Importance
0,total_price_including_optional_support,0.5008789259166085
2,eligible_double_your_impact_match_binary,0.0859792206882179
1,students_reached,0.06317873861411079
41,school_metro_rural,0.02884101173097406
5,poverty_level_highest poverty,0.02617689400275082
11,resource_type_Technology,0.01921997329215997
12,resource_type_Trips,0.017838199216700018
43,school_metro_urban,0.01593882636993348
45,teacher_prefix_Mrs.,0.015867692670725256
29,primary_focus_subject_Literacy,0.014275638594271344
22,primary_focus_subject_Environmental Science,0.011801537265595725
14,primary_focus_subject_Applied Sciences,0.009514416371036926
87,school_state_SC,0.009330667856324703
81,school_state_NY,0.009181481834574401
8,resource_type_Books,0.008456753532710751
30,primary_focus_subject_Literature & Writing,0.00777518747650913
74,school_state_NC,0.00667765909616816
56,school_state_FL,0.005851125457758047
51,school_state_CA,0.005679914521252657
3,school_charter_binary,0.005432066836300496
89,school_state_TN,0.005387164244657463
71,school_state_MO,0.005346670736379837
61,school_state_IL,0.005221761741004072
4,poverty_level_high poverty,0.0045909815962168485
91,school_state_UT,0.004365698613035029
62,school_state_IN,0.004143823665382851
25,primary_focus_subject_Gym & Fitness,0.0040560101762574996
42,school_metro_suburban,0.003990626436469868
17,primary_focus_subject_College & Career Prep,0.003922983454948256
9,resource_type_Other,0.0038678017077723535
82,school_state_OH,0.0035771439379339155
90,school_state_TX,0.0035501996055253377
65,school_state_LA,0.003534599438440023
7,poverty_level_moderate poverty,0.0034756125662405196
44,teacher_prefix_Mr.,0.00333084915904406
64,school_state_KY,0.0032768168174547095
92,school_state_VA,0.002993319587039946
66,school_state_MA,0.0029347392467063763
19,primary_focus_subject_ESL,0.002900732486512597
38,primary_focus_subject_Special Needs,0.0028753874963710646
6,poverty_level_low poverty,0.0028501271519223584
31,primary_focus_subject_Mathematics,0.0028137406752750337
10,resource_type_Supplies,0.002703424780537387
34,primary_focus_subject_Other,0.0026510538778684923
32,primary_focus_subject_Music,0.002361676696961515
24,primary_focus_subject_Foreign Languages,0.002266787183429266
50,school_state_AZ,0.0022496010417300477
85,school_state_PA,0.0022362745155306554
46,teacher_prefix_Ms.,0.0022092203078168306
20,primary_focus_subject_Early Development,0.0021341937680982833
28,primary_focus_subject_History & Geography,0.0020653087681109013
36,primary_focus_subject_Performing Arts,0.002063651439921373
48,school_state_AL,0.001966062167044653
78,school_state_NJ,0.0018662608299294127
40,primary_focus_subject_Visual Arts,0.0017317105965166369
72,school_state_MS,0.001713582893442992
37,primary_focus_subject_Social Sciences,0.0015458676800960964
26,primary_focus_subject_Health & Life Science,0.0015240908043153052
15,primary_focus_subject_Character Education,0.0014829558901103099
57,school_state_GA,0.0013916106845538387
79,school_state_NM,0.001281638804034874
80,school_state_NV,0.0011463767253948058
83,school_state_OK,0.0010725235329774746
88,school_state_SD,0.0009941811083995214
58,school_state_HI,0.0009584927835196654
95,school_state_WI,0.0009419983732077111
60,school_state_ID,0.0009299347906926505
53,school_state_CT,0.0009257155656453936
23,primary_focus_subject_Extracurricular,0.0007967429290548
77,school_state_NH,0.0007455580336123147
21,primary_focus_subject_Economics,0.000661424296878426
35,primary_focus_subject_Parent Involvement,0.0005059884350430433
27,primary_focus_subject_Health & Wellness,0.000502855473995001
63,school_state_KS,0.0004460151070525686
93,school_state_VT,0.00044111083863435395
49,school_state_AR,0.00041731013962363053
97,school_state_WY,0.00016607725094660807
75,school_state_ND,0.0
96,school_state_WV,0.0
13,resource_type_Visitors,0.0
94,school_state_WA,0.0
16,primary_focus_subject_Civics & Government,0.0
18,primary_focus_subject_Community Service,0.0
33,primary_focus_subject_Nutrition,0.0
39,primary_focus_subject_Sports,0.0
47,school_state_AK,0.0
52,school_state_CO,0.0
76,school_state_NE,0.0
86,school_state_RI,0.0
55,school_state_DE,0.0
84,school_state_OR,0.0
59,school_state_IA,0.0
67,school_state_MD,0.0
68,school_state_ME,0.0
69,school_state_MI,0.0
70,school_state_MN,0.0
73,school_state_MT,0.0
54,school_state_DC,0.0
