,Features,Importance
0,total_price_including_optional_support,0.4936679692813327
2,eligible_double_your_impact_match_binary,0.08481939780884783
1,students_reached,0.06797671633915194
41,school_metro_rural,0.027245482078614148
5,poverty_level_highest poverty,0.02568062426841472
11,resource_type_Technology,0.021099764767503696
12,resource_type_Trips,0.017597569545801817
43,school_metro_urban,0.01622056335992616
45,teacher_prefix_Mrs.,0.01558719109427285
29,primary_focus_subject_Literacy,0.014820175091280988
22,primary_focus_subject_Environmental Science,0.011598814301748823
81,school_state_NY,0.009443043915216194
14,primary_focus_subject_Applied Sciences,0.009439044537341932
87,school_state_SC,0.009066953297246532
8,resource_type_Books,0.00834638147423774
30,primary_focus_subject_Literature & Writing,0.008065778808945928
74,school_state_NC,0.006587580333667458
51,school_state_CA,0.005911627977930442
56,school_state_FL,0.005777856389185013
3,school_charter_binary,0.005744206920144024
42,school_metro_suburban,0.005602559150341785
44,teacher_prefix_Mr.,0.005585002711011698
61,school_state_IL,0.005584915793051115
89,school_state_TN,0.005539319903574118
71,school_state_MO,0.005274546437056413
4,poverty_level_high poverty,0.0045758517754546585
91,school_state_UT,0.004306807207701251
9,resource_type_Other,0.004053718819483985
25,primary_focus_subject_Gym & Fitness,0.004001296335358197
17,primary_focus_subject_College & Career Prep,0.0038700640875706602
7,poverty_level_moderate poverty,0.0038141443806288654
64,school_state_KY,0.003781679302896272
62,school_state_IN,0.0037055810773432667
82,school_state_OH,0.003528889797586907
90,school_state_TX,0.003502308932687649
65,school_state_LA,0.0034906121487118264
6,poverty_level_low poverty,0.0031124816815723466
10,resource_type_Supplies,0.0031005501200807918
66,school_state_MA,0.0028951508706305073
19,primary_focus_subject_ESL,0.0028616028470734444
34,primary_focus_subject_Other,0.0026152922959725078
24,primary_focus_subject_Foreign Languages,0.002591609003883374
20,primary_focus_subject_Early Development,0.0024114703248715127
38,primary_focus_subject_Special Needs,0.002335885869783251
32,primary_focus_subject_Music,0.002329818689353562
50,school_state_AZ,0.002219254886731567
85,school_state_PA,0.002206108129665517
31,primary_focus_subject_Mathematics,0.0021818929760422903
72,school_state_MS,0.0021021481982860996
92,school_state_VA,0.002068395756331321
28,primary_focus_subject_History & Geography,0.002037448636988
36,primary_focus_subject_Performing Arts,0.002035813665446246
48,school_state_AL,0.0019395408300826545
78,school_state_NJ,0.001831181809020259
40,primary_focus_subject_Visual Arts,0.0017083505619151275
46,teacher_prefix_Ms.,0.0015718068942690087
26,primary_focus_subject_Health & Life Science,0.0015035314718285357
15,primary_focus_subject_Character Education,0.0014629514500063042
57,school_state_GA,0.001372838452167897
79,school_state_NM,0.001264350045238159
80,school_state_NV,0.0011309125941332343
83,school_state_OK,0.0010580556496650531
58,school_state_HI,0.000945563126200853
95,school_state_WI,0.000929291218422748
60,school_state_ID,0.0009173903684713945
53,school_state_CT,0.0008993007516110805
23,primary_focus_subject_Extracurricular,0.0007859952080275878
54,school_state_DC,0.0007845975492792041
77,school_state_NH,0.0007355007749123622
37,primary_focus_subject_Social Sciences,0.0007286777678064564
21,primary_focus_subject_Economics,0.0006525019662693515
27,primary_focus_subject_Health & Wellness,0.0004960721689232931
35,primary_focus_subject_Parent Involvement,0.000495469924134074
88,school_state_SD,0.0004647018241357892
86,school_state_RI,0.00044752068984909617
63,school_state_KS,0.00043999855419754667
93,school_state_VT,0.0004351604422607759
18,primary_focus_subject_Community Service,0.0004335933824964022
67,school_state_MD,0.00038234418076494393
97,school_state_WY,0.00016383693992902805
76,school_state_NE,0.0
75,school_state_ND,0.0
96,school_state_WV,0.0
13,resource_type_Visitors,0.0
94,school_state_WA,0.0
16,primary_focus_subject_Civics & Government,0.0
33,primary_focus_subject_Nutrition,0.0
39,primary_focus_subject_Sports,0.0
47,school_state_AK,0.0
52,school_state_CO,0.0
55,school_state_DE,0.0
59,school_state_IA,0.0
68,school_state_ME,0.0
69,school_state_MI,0.0
84,school_state_OR,0.0
70,school_state_MN,0.0
73,school_state_MT,0.0
49,school_state_AR,0.0
