,Features,Importance
0,total_price_including_optional_support,0.5154050190297551
2,eligible_double_your_impact_match_binary,0.07059490379148764
1,students_reached,0.05266658367403018
43,school_metro_urban,0.021382882438422655
41,school_metro_rural,0.020194893794072508
5,poverty_level_highest poverty,0.017000852647787886
12,resource_type_Trips,0.01566390477329092
88,school_state_SC,0.014285799066758349
8,resource_type_Books,0.013991616323166608
11,resource_type_Technology,0.01378411242911211
22,primary_focus_subject_Environmental Science,0.013448096372274197
46,teacher_prefix_Mrs.,0.012398610022203627
29,primary_focus_subject_Literacy,0.011711659391114036
82,school_state_NY,0.010135357107518856
42,school_metro_suburban,0.009578846819790304
57,school_state_FL,0.008738916572154486
15,primary_focus_subject_Character Education,0.008419555878263816
14,primary_focus_subject_Applied Sciences,0.008286958979644404
75,school_state_NC,0.008078829586626214
84,school_state_OK,0.008026668113545193
7,poverty_level_moderate poverty,0.007915857133453384
52,school_state_CA,0.007580991027539137
54,school_state_CT,0.0073042673828272245
4,poverty_level_high poverty,0.006875515837714664
10,resource_type_Supplies,0.0063512237716862145
30,primary_focus_subject_Literature & Writing,0.0063206252297815435
3,school_charter_binary,0.0060280186011497094
72,school_state_MO,0.00583495432068613
90,school_state_TN,0.004900361058024533
40,primary_focus_subject_Visual Arts,0.004376721747959955
31,primary_focus_subject_Mathematics,0.004289836247936354
81,school_state_NV,0.004030127185139384
26,primary_focus_subject_Health & Life Science,0.003749661571346178
32,primary_focus_subject_Music,0.003723609360125442
91,school_state_TX,0.0036469655918234464
50,school_state_AR,0.0033993576677731866
47,teacher_prefix_Ms.,0.0033697678408747453
6,poverty_level_low poverty,0.003344511347143367
45,teacher_prefix_Mr.,0.0032644544991497267
66,school_state_LA,0.0030630204987484354
51,school_state_AZ,0.002876536693643082
79,school_state_NJ,0.0028333470105193757
92,school_state_UT,0.0027852514071262146
28,primary_focus_subject_History & Geography,0.0024548211737974945
38,primary_focus_subject_Special Needs,0.0023929903647985913
9,resource_type_Other,0.002214745168070624
67,school_state_MA,0.002129014603455868
34,primary_focus_subject_Other,0.0020271182539309744
65,school_state_KY,0.001789974906928716
59,school_state_HI,0.0016710065067123672
20,primary_focus_subject_Early Development,0.001545523573284533
80,school_state_NM,0.001519516163233389
24,primary_focus_subject_Foreign Languages,0.0014365493733759533
55,school_state_DC,0.0014355914014707646
86,school_state_PA,0.0013791766910499067
36,primary_focus_subject_Performing Arts,0.0013414010483864499
63,school_state_IN,0.0012815514551164882
69,school_state_ME,0.0012640075842611908
83,school_state_OH,0.0012553868398161212
93,school_state_VA,0.0011768257577681612
23,primary_focus_subject_Extracurricular,0.0011480203091527067
85,school_state_OR,0.0009890974840848952
58,school_state_GA,0.0009757832175329845
49,school_state_AL,0.0009431426142838037
37,primary_focus_subject_Social Sciences,0.0009278225905847051
27,primary_focus_subject_Health & Wellness,0.0009173808863869997
53,school_state_CO,0.0008779799902695456
68,school_state_MD,0.0006723765607588032
18,primary_focus_subject_Community Service,0.0006046397072332728
96,school_state_WI,0.000568589887741375
98,school_state_WY,0.0005482471684983272
95,school_state_WA,0.0004954450863657884
89,school_state_SD,0.00035722378845880074
71,school_state_MN,0.0
70,school_state_MI,0.0
97,school_state_WV,0.0
61,school_state_ID,0.0
94,school_state_VT,0.0
13,resource_type_Visitors,0.0
16,primary_focus_subject_Civics & Government,0.0
17,primary_focus_subject_College & Career Prep,0.0
60,school_state_IA,0.0
19,primary_focus_subject_ESL,0.0
87,school_state_RI,0.0
21,primary_focus_subject_Economics,0.0
25,primary_focus_subject_Gym & Fitness,0.0
56,school_state_DE,0.0
33,primary_focus_subject_Nutrition,0.0
35,primary_focus_subject_Parent Involvement,0.0
62,school_state_IL,0.0
39,primary_focus_subject_Sports,0.0
44,teacher_prefix_Dr.,0.0
78,school_state_NH,0.0
77,school_state_NE,0.0
76,school_state_ND,0.0
48,school_state_AK,0.0
74,school_state_MT,0.0
73,school_state_MS,0.0
64,school_state_KS,0.0
