,Features,Importance
0,total_price_including_optional_support,0.5246793912938327
2,eligible_double_your_impact_match_binary,0.07213122265576954
1,students_reached,0.05893308781010237
41,school_metro_rural,0.03067613735067741
5,poverty_level_highest poverty,0.02062512279120372
8,resource_type_Books,0.01756421590174411
12,resource_type_Trips,0.017481944182663293
45,teacher_prefix_Mrs.,0.014429516022938415
81,school_state_NY,0.01371849229864615
43,school_metro_urban,0.013280716794527147
4,poverty_level_high poverty,0.01197092760211489
29,primary_focus_subject_Literacy,0.0114044156101352
22,primary_focus_subject_Environmental Science,0.010051628668279302
11,resource_type_Technology,0.010045844628667951
3,school_charter_binary,0.008550197005956071
15,primary_focus_subject_Character Education,0.008544338325096875
87,school_state_SC,0.008430708536172107
74,school_state_NC,0.007734958708967715
51,school_state_CA,0.007330524063223858
90,school_state_TX,0.0064899991227494475
56,school_state_FL,0.0063196694052124695
14,primary_focus_subject_Applied Sciences,0.005578327004256999
32,primary_focus_subject_Music,0.00511565117788935
46,teacher_prefix_Ms.,0.004643364577895143
7,poverty_level_moderate poverty,0.0043260657288183785
30,primary_focus_subject_Literature & Writing,0.00413711825480219
40,primary_focus_subject_Visual Arts,0.004050089419266842
44,teacher_prefix_Mr.,0.004040970853172683
10,resource_type_Supplies,0.003981011198701323
78,school_state_NJ,0.003841752907949838
61,school_state_IL,0.0035523325425981978
91,school_state_UT,0.0034238139416436974
85,school_state_PA,0.003305668647277441
71,school_state_MO,0.003295317477260136
48,school_state_AL,0.0031927865240270613
54,school_state_DC,0.0028596771813379227
50,school_state_AZ,0.0026427647894746724
89,school_state_TN,0.002624246052433172
25,primary_focus_subject_Gym & Fitness,0.002584134051983699
66,school_state_MA,0.002494168333282337
42,school_metro_suburban,0.0024449925566614643
28,primary_focus_subject_History & Geography,0.0023932360547185396
9,resource_type_Other,0.0023810758079492
64,school_state_KY,0.002373844306492423
79,school_state_NM,0.0020850258807686892
84,school_state_OR,0.0019869187330306174
82,school_state_OH,0.0019829554194670854
83,school_state_OK,0.0019305522245612083
31,primary_focus_subject_Mathematics,0.0017945101613378626
95,school_state_WI,0.0017884624280313777
34,primary_focus_subject_Other,0.0017790225220870657
38,primary_focus_subject_Special Needs,0.0016497863863863507
52,school_state_CO,0.0016377075357111525
27,primary_focus_subject_Health & Wellness,0.0015532673404525983
6,poverty_level_low poverty,0.0014990834782155449
62,school_state_IN,0.001480138430683475
24,primary_focus_subject_Foreign Languages,0.0014556615370175162
36,primary_focus_subject_Performing Arts,0.0013810589774124174
23,primary_focus_subject_Extracurricular,0.0013676366461328748
26,primary_focus_subject_Health & Life Science,0.0012496373292146987
17,primary_focus_subject_College & Career Prep,0.0011293413085302015
49,school_state_AR,0.0011244640419370909
88,school_state_SD,0.0011182301495906166
58,school_state_HI,0.001052120421766383
69,school_state_MI,0.001046179758815364
53,school_state_CT,0.0009857705327756666
57,school_state_GA,0.0009787473059021893
19,primary_focus_subject_ESL,0.0009244729767546586
77,school_state_NH,0.0007890422365382927
73,school_state_MT,0.0007815673135991983
59,school_state_IA,0.000762930955841153
92,school_state_VA,0.0006647543336173071
70,school_state_MN,0.0006155536070498126
80,school_state_NV,0.0005920742640049664
65,school_state_LA,0.0005752827837333746
94,school_state_WA,0.0005625748104595327
93,school_state_VT,0.0
21,primary_focus_subject_Economics,0.0
16,primary_focus_subject_Civics & Government,0.0
13,resource_type_Visitors,0.0
18,primary_focus_subject_Community Service,0.0
96,school_state_WV,0.0
20,primary_focus_subject_Early Development,0.0
86,school_state_RI,0.0
60,school_state_ID,0.0
33,primary_focus_subject_Nutrition,0.0
35,primary_focus_subject_Parent Involvement,0.0
37,primary_focus_subject_Social Sciences,0.0
39,primary_focus_subject_Sports,0.0
63,school_state_KS,0.0
47,school_state_AK,0.0
76,school_state_NE,0.0
75,school_state_ND,0.0
55,school_state_DE,0.0
72,school_state_MS,0.0
68,school_state_ME,0.0
67,school_state_MD,0.0
97,school_state_WY,0.0
